Wlgth,"Reflectivity (P-Pol, 5°)",Wlgth,"GDD (P-Pol, 5°)"
931.751,99.96676,931.751,-190.88
931.8515,99.96782,931.8515,-191.034
931.9521,99.96886,931.9521,-191.164
932.0527,99.9699,932.0527,-191.275
932.1533,99.97092,932.1533,-191.37
932.2539,99.97192,932.2539,-191.453
932.3545,99.9729,932.3545,-191.527
932.4552,99.97386,932.4552,-191.594
932.5559,99.9748,932.5559,-191.658
932.6566,99.97572,932.6566,-191.72
932.7573,99.97661,932.7573,-191.784
932.8581,99.97747,932.8581,-191.849
932.9588,99.97831,932.9588,-191.919
933.0596,99.97912,933.0596,-191.993
933.1605,99.97991,933.1605,-192.073
933.2613,99.98067,933.2613,-192.16
933.3622,99.9814,933.3622,-192.253
933.463,99.98211,933.463,-192.354
933.5639,99.9828,933.5639,-192.462
933.6649,99.98345,933.6649,-192.577
933.7658,99.98409,933.7658,-192.699
933.8668,99.9847,933.8668,-192.829
933.9678,99.98528,933.9678,-192.965
934.0688,99.98585,934.0688,-193.107
934.1698,99.98639,934.1698,-193.255
934.2709,99.9869,934.2709,-193.409
934.372,99.9874,934.372,-193.568
934.4731,99.98788,934.4731,-193.731
934.5742,99.98834,934.5742,-193.899
934.6753,99.98878,934.6753,-194.07
934.7765,99.9892,934.7765,-194.245
934.8777,99.9896,934.8777,-194.422
934.9789,99.98999,934.9789,-194.602
935.0801,99.99036,935.0801,-194.784
935.1814,99.99072,935.1814,-194.968
935.2827,99.99106,935.2827,-195.153
935.3839,99.99138,935.3839,-195.339
935.4853,99.9917,935.4853,-195.526
935.5866,99.992,935.5866,-195.713
935.688,99.99228,935.688,-195.901
935.7894,99.99256,935.7894,-196.088
935.8908,99.99282,935.8908,-196.275
935.9922,99.99307,935.9922,-196.461
936.0936,99.99332,936.0936,-196.647
936.1951,99.99355,936.1951,-196.831
936.2966,99.99377,936.2966,-197.015
936.3981,99.99399,936.3981,-197.197
936.4997,99.99419,936.4997,-197.378
936.6012,99.99439,936.6012,-197.557
936.7028,99.99458,936.7028,-197.735
936.8044,99.99476,936.8044,-197.91
936.9061,99.99493,936.9061,-198.084
937.0077,99.9951,937.0077,-198.257
937.1094,99.99526,937.1094,-198.427
937.2111,99.99541,937.2111,-198.595
937.3128,99.99556,937.3128,-198.76
937.4145,99.9957,937.4145,-198.924
937.5163,99.99584,937.5163,-199.086
937.6181,99.99597,937.6181,-199.245
937.7199,99.99609,937.7199,-199.402
937.8217,99.99621,937.8217,-199.556
937.9235,99.99633,937.9235,-199.708
938.0254,99.99644,938.0254,-199.858
938.1273,99.99655,938.1273,-200.005
938.2292,99.99665,938.2292,-200.15
938.3312,99.99675,938.3312,-200.292
938.4331,99.99685,938.4331,-200.432
938.5351,99.99694,938.5351,-200.57
938.6371,99.99703,938.6371,-200.705
938.7391,99.99712,938.7391,-200.837
938.8412,99.9972,938.8412,-200.968
938.9432,99.99728,938.9432,-201.095
939.0453,99.99735,939.0453,-201.22
939.1475,99.99743,939.1475,-201.343
