	Simulated 
	actual 
1010.142995	-368.7234671
1010.176404	-369.0440577
1010.209815	-369.364661
1010.243229	-369.685276
1010.276644	-370.0059014
1010.310062	-370.3265359
1010.343482	-370.6471785
1010.376905	-370.9678278
1010.410329	-371.2884826
1010.443756	-371.6091417
1010.477185	-371.9298038
1010.510616	-372.2504678
1010.544049	-372.5711323
1010.577485	-372.8917962
1010.610923	-373.2124581
1010.644363	-373.5331168
1010.677805	-373.8537711
1010.711249	-374.1744196
1010.744696	-374.4950612
1010.778145	-374.8156945
1010.811596	-375.1363183
1010.845049	-375.4569313
1010.878505	-375.7775322
1010.911963	-376.0981197
1010.945422	-376.4186925
1010.978885	-376.7392494
1011.012349	-377.059789
1011.045816	-377.38031
1011.079284	-377.7008111
1011.112755	-378.0212911
1011.146229	-378.3417485
1011.179704	-378.662182
1011.213182	-378.9825905
1011.246662	-379.3029724
1011.280144	-379.6233265
1011.313628	-379.9436515
1011.347115	-380.2639459
1011.380603	-380.5842086
1011.414094	-380.904438
1011.447587	-381.2246329
1011.481083	-381.5447919
1011.514581	-381.8649136
1011.54808	-382.1849967
1011.581582	-382.5050398
1011.615087	-382.8250415
1011.648593	-383.1450006
1011.682102	-383.4649154
1011.715613	-383.7847848
1011.749126	-384.1046073
1011.782641	-384.4243815
1011.816159	-384.744106
1011.849679	-385.0637794
1011.883201	-385.3834003
1011.916725	-385.7029674
1011.950252	-386.0224791
1011.98378	-386.3419341
1012.017311	-386.6613309
1012.050844	-386.9806682
1012.08438	-387.2999445
1012.117917	-387.6191584
1012.151457	-387.9383083
1012.184999	-388.257393
1012.218544	-388.576411
1012.25209	-388.8953607
1012.285639	-389.2142408
1012.31919	-389.5330497
1012.352743	-389.8517861
1012.386298	-390.1704485
1012.419856	-390.4890354
1012.453416	-390.8075453
1012.486978	-391.1259768
1012.520542	-391.4443283
1012.554108	-391.7625985
1012.587677	-392.0807857
1012.621248	-392.3988886
1012.654821	-392.7169056
1012.688397	-393.0348352
1012.721974	-393.352676
1012.755554	-393.6704263
1012.789136	-393.9880848
1012.822721	-394.3056498
1012.856307	-394.62312
1012.889896	-394.9404937
1012.923487	-395.2577694
1012.95708	-395.5749456
1012.990676	-395.8920208
1013.024273	-396.2089934
1013.057873	-396.5258619
1013.091475	-396.8426248
1013.12508	-397.1592804
1013.158686	-397.4758273
1013.192295	-397.7922639
1013.225906	-398.1085886
1013.25952	-398.4247999
1013.293135	-398.7408962
1013.326753	-399.0568759
1013.360373	-399.3727375
1013.393995	-399.6884794
1013.42762	-400.0040999
1013.461246	-400.3195976
1013.494875	-400.6349708
1013.528506	-400.9502179
1013.56214	-401.2653374
1013.595775	-401.5803276
1013.629413	-401.8951869
1013.663053	-402.2099138
1013.696695	-402.5245066
1013.73034	-402.8389636
1013.763987	-403.1532834
1013.797636	-403.4674642
1013.831287	-403.7815045
1013.86494	-404.0954026
1013.898596	-404.4091568
1013.932254	-404.7227656
1013.965914	-405.0362273
1013.999577	-405.3495403
1014.033241	-405.6627028
1014.066908	-405.9757133
1014.100577	-406.2885702
1014.134249	-406.6012717
1014.167922	-406.9138162
1014.201598	-407.226202
1014.235276	-407.5384274
1014.268956	-407.8504909
1014.302639	-408.1623907
1014.336324	-408.4741251
1014.370011	-408.7856925
1014.4037	-409.0970912
1014.437392	-409.4083195
1014.471085	-409.7193756
1014.504781	-410.030258
1014.538479	-410.3409648
1014.57218	-410.6514945
1014.605883	-410.9618453
1014.639587	-411.2720155
1014.673295	-411.5820033
1014.707004	-411.8918072
1014.740716	-412.2014253
1014.77443	-412.5108559
1014.808146	-412.8200973
1014.841864	-413.1291479
1014.875585	-413.4380057
1014.909307	-413.7466693
1014.943033	-414.0551366
1014.97676	-414.3634062
1015.010489	-414.6714761
1015.044221	-414.9793447
1015.077955	-415.2870103
1015.111692	-415.5944709
1015.14543	-415.901725
1015.179171	-416.2087708
1015.212914	-416.5156064
1015.246659	-416.8222301
1015.280407	-417.1286402
1015.314156	-417.4348349
1015.347908	-417.7408125
1015.381663	-418.046571
1015.415419	-418.3521089
1015.449178	-418.6574242
1015.482939	-418.9625152
1015.516702	-419.2673801
1015.550467	-419.5720171
1015.584235	-419.8764245
1015.618005	-420.1806004
1015.651777	-420.4845431
1015.685552	-420.7882507
1015.719328	-421.0917214
1015.753107	-421.3949535
1015.786889	-421.697945
1015.820672	-422.0006943
1015.854458	-422.3031995
1015.888246	-422.6054588
1015.922036	-422.9074703
1015.955828	-423.2092322
1015.989623	-423.5107428
1016.02342	-423.8120001
1016.057219	-424.1130025
1016.09102	-424.4137479
1016.124824	-424.7142346
1016.15863	-425.0144608
1016.192438	-425.3144246
1016.226248	-425.6141242
1016.260061	-425.9135577
1016.293876	-426.2127232
1016.327693	-426.511619
1016.361513	-426.8102432
1016.395334	-427.108594
1016.429158	-427.4066694
1016.462984	-427.7044676
1016.496813	-428.0019867
1016.530643	-428.299225
1016.564476	-428.5961805
1016.598312	-428.8928514
1016.632149	-429.1892357
1016.665989	-429.4853317
1016.699831	-429.7811374
1016.733675	-430.076651
1016.767521	-430.3718706
1016.80137	-430.6667944
1016.835221	-430.9614203
1016.869074	-431.2557467
1016.902929	-431.5497715
1016.936787	-431.8434928
1016.970647	-432.1369089
1017.004509	-432.4300178
1017.038374	-432.7228176
1017.072241	-433.0153064
1017.10611	-433.3074824
1017.139981	-433.5993436
1017.173854	-433.8908881
