Wlgth	Rp Σ	Wlgth	GDDrp Σ	Wlgth	Rp	Wlgth	GDDrp	Wlgth	Rp 5°	Wlgth	GDDrp 5°	Wlgth	Rp 5°	Wlgth	GDDrp 5°
653.531347500116	99.5917198745125	653.531347500116	-41.0102244459697	655.968668964435	100	655.968668964435	-60	653.531347500116	99.9488545235994	653.531347500116	3.21047802022777	653.531347500116	99.2358613296711	653.531347500116	-85.2309269121672
653.673399680169	99.6101018578392	653.673399680169	-38.3403791263901	656.208552388496	100	656.208552388496	-60	653.673399680169	99.9519848351592	653.673399680169	2.62279072393408	653.673399680169	99.269388281711	653.673399680169	-79.3035489767143
653.815513626835	99.6276281022949	653.815513626835	-35.7912117878764	656.448523536346	100	656.448523536346	-60	653.815513626835	99.9547886012586	653.815513626835	2.06064355302672	653.815513626835	99.3015384273866	653.815513626835	-73.6430671287795
653.957689380407	99.6442135800238	653.957689380407	-33.4503426768149	656.688582440066	100	656.688582440066	-60	653.957689380407	99.9573054931504	653.957689380407	1.52406963562398	653.957689380407	99.3321023510561	653.957689380407	-68.4247549892537
654.099926981217	99.6598137295515	654.099926981217	-31.3647047097291	656.928729131746	100	656.928729131746	-60	654.099926981217	99.9595694478326	654.099926981217	1.01241523288778	654.099926981217	99.3609569096063	654.099926981217	-63.741824652346
654.242226469628	99.6744153656752	654.242226469628	-29.5517708508351	657.16896364349	100	657.16896364349	-60	654.242226469628	99.9616095917577	654.242226469628	0.524610978024202	654.242226469628	99.3880462615954	654.242226469628	-59.6281526796944
654.384587886041	99.6880287314143	654.384587886041	-28.0090873633272	657.409286007414	100	657.409286007414	-60	654.384587886041	99.9634510014968	654.384587886041	0.0593549259278216	654.384587886041	99.4133653129531	654.384587886041	-56.0775296525823
654.52701127089	99.700680861423	654.52701127089	-26.7217504447081	657.649696255645	100	657.649696255645	-60	654.52701127089	99.9651153320086	654.52701127089	-0.384765157318583	654.52701127089	99.436945890748	654.52701127089	-53.0587357320977
654.669496664645	99.7124102369087	654.669496664645	-25.6679173059291	657.890194420321	100	657.890194420321	-60	654.669496664645	99.9666213371691	654.669496664645	-0.809191329407702	654.669496664645	99.4588455852591	654.669496664645	-50.5266432824506
654.812044107812	99.7232626087584	654.812044107812	-24.8226516073852	658.130780533592	100	658.130780533592	-60	654.812044107812	99.9679853024057	654.812044107812	-1.21534373649634	654.812044107812	99.4791389988738	654.812044107812	-48.429959478274
654.954653640931	99.7332878206057	654.954653640931	-24.1604619245886	658.371454627621	100	658.371454627621	-60	654.954653640931	99.9692214054241	654.954653640931	-1.60458853931629	654.954653640931	99.4979110537325	654.954653640931	-46.716335309861
655.097325304579	99.7425374547193	655.097325304579	-23.6568712472789	658.612216734582	100	658.612216734582	-60	655.097325304579	99.970342017929	655.097325304579	-1.9782192150491	655.097325304579	99.5152519946554	655.097325304579	-45.3355232795087
655.240059139367	99.7510631348387	655.240059139367	-23.2893010252305	658.853066886661	100	658.853066886661	-60	655.240059139367	99.9713579587798	655.240059139367	-2.33744687709197	655.240059139367	99.5312537480313	655.240059139367	-44.241155173369
655.38285518594	99.7589153407844	655.38285518594	-23.0374909476418	659.094005116055	100	659.094005116055	-60	655.38285518594	99.9722787070391	655.38285518594	-2.68339659352088	655.38285518594	99.5460073400235	655.38285518594	-43.3915853017627
655.525713484983	99.7661426133555	655.525713484983	-22.8836183102961	659.335031454973	100	659.335031454973	-60	655.525713484983	99.9731125817982	655.525713484983	-3.01710761630267	655.525713484983	99.5596011257987	655.525713484983	-42.7501290042896
655.668634077212	99.7727910510337	655.668634077212	-22.8122334597156	659.576145935636	100	659.576145935636	-60	655.668634077212	99.9738668943865	655.668634077212	-3.3395360824134	655.668634077212	99.5721196283164	655.668634077212	-42.2849308370178
655.81161700338	99.7789040205766	655.81161700338	-22.8100911885572	659.817348590278	100	659.817348590278	-60	655.81161700338	99.9745480775511	655.81161700338	-3.65155920060379	655.81161700338	99.5836428270185	655.81161700338	-41.9686231765106
655.954662304277	99.7845220210349	655.954662304277	-22.865930947503	660.058639451143	100	660.058639451143	-60	655.954662304277	99.9751617953673	655.954662304277	-3.95398025335766	655.954662304277	99.5942457722312	655.954662304277	-41.7778816416484
656.097770020726	99.7896826550252	656.097770020726	-22.9702395286242	660.300018550488	100	660.300018550488	-60	656.097770020726	99.9757130369722	656.097770020726	-4.24753396379833	656.097770020726	99.6039984301794	656.097770020726	-41.6929450934501
656.240940193588	99.7944206725282	656.240940193588	-23.115016630493	660.54148592058	100	660.54148592058	-60	656.240940193588	99.9762061966707	656.240940193588	-4.53289193040252	656.240940193588	99.6129656868013	656.240940193588	-41.6971413305836
656.384172863758	99.7987680614447	656.384172863758	-23.2935548470972	660.7830415937	100	660.7830415937	-60	656.384172863758	99.9766451425238	656.384172863758	-4.81066793880066	656.384172863758	99.621207456838	656.384172863758	-41.7764417553937
656.527468072167	99.8027541660818	656.527468072167	-23.5002398626935	661.024685602139	100	661.024685602139	-60	656.527468072167	99.9770332751661	656.527468072167	-5.08142303314115	656.527468072167	99.6287788588495	656.527468072167	-41.9190566922458
656.670825859783	99.8064058200377	656.670825859783	-23.730373024007	661.266417978201	100	661.266417978201	-60	656.670825859783	99.977373578307	656.670825859783	-5.34567027971614	656.670825859783	99.6357304276641	656.670825859783	-42.1150757682978
656.814246267609	99.8097474839659	656.814246267609	-23.9800162993987	661.508238754202	100	661.508238754202	-60	656.814246267609	99.9776686621237	656.814246267609	-5.60387918953687	656.814246267609	99.6421083440117	656.814246267609	-42.3561534092605
656.957729336683	99.8128013817063	656.957729336683	-24.2458584245975	661.75014796247	100	661.75014796247	-60	656.957729336683	99.9779208005592	656.957729336683	-5.85647978906346	656.957729336683	99.6479546672892	656.957729336683	-42.6352370601316
