Wlgth,GDDrp5deg,GDDrp19deg
469.8252486,32.14815196,11.24889127
469.9845534,31.55302742,10.80412513
470.1439662,30.89388339,10.35263908
470.3034873,30.21769745,9.905838989
470.4631166,29.56822178,9.47181951
470.6228543,28.98920799,9.056823799
470.7827006,28.52794666,8.666337162
470.9426554,28.23878847,8.305958192
471.102719,28.18594409,7.982140879
471.2628915,28.44390126,7.70284631
471.4231729,29.09186694,7.478063283
471.5835633,30.19532301,7.320020031
471.7440629,31.76330706,7.242662307
471.9046718,33.66737077,7.259551849
472.0653901,35.51741672,7.378713796
472.226218,36.53183228,7.592302855
472.3871554,35.5331813,7.85904221
472.5482026,31.29754872,8.080248112
472.7093596,23.37631597,8.079264051
472.8706266,12.96848258,7.610611489
473.0320036,2.851583163,6.437497404
473.1934909,-4.079658535,4.489521724
473.3550884,-6.52439891,2.018667423
473.5167964,-5.167878258,-0.415884024
473.6786148,-1.719555151,-2.211626581
473.8405439,2.221339656,-3.051254853
474.0025838,5.686347079,-3.016074274
474.1647345,8.304339477,-2.435936253
474.3269962,10.06738756,-1.664112458
474.489369,11.12263687,-0.944543465
474.651853,11.65001954,-0.392872349
474.8144483,11.80861411,-0.034277944
474.977155,11.72141475,0.152261972
475.1399733,11.47694329,0.203443151
475.3029033,11.13623745,0.155820359
475.465945,10.74023843,0.039690246
475.6290987,10.31589499,-0.122047241
475.7923643,9.880712366,-0.312994614
475.9557421,9.44596927,-0.521815006
476.1192321,9.01893128,-0.740864399
476.2828345,8.604356211,-0.965092998
476.4465493,8.205518594,-1.191230166
476.6103767,7.824915155,-1.417205786
476.7743168,7.464759925,-1.641750074
476.9383698,7.127334918,-1.864121213
477.1025357,6.815224702,-2.083921783
477.2668146,6.531422771,-2.300975742
477.4312067,6.27924552,-2.515246126
477.5957121,6.061916297,-2.726779872
477.7603309,5.881583757,-2.935670413
477.9250632,5.737433248,-3.142031661
478.0899092,5.622514172,-3.345978876
478.2548689,5.519138138,-3.547613117
478.4199425,5.3935711,-3.747006673
478.5851301,5.192659144,-3.944187077
478.7504317,4.847787176,-4.13911726
478.9158477,4.292966507,-4.331668918
479.0813779,3.498929599,-4.521585377
479.2470227,2.510265982,-4.70842898
479.412782,1.456283469,-4.891506394
479.578656,0.511717366,-5.069763343
479.7446448,-0.178584343,-5.241638692
479.9107486,-0.560146882,-5.404868259
480.0769675,-0.674489407,-5.556235083
480.2433015,-0.617723113,-5.691283836
480.4097508,-0.490269029,-5.804070242
480.5763156,-0.366271259,-5.887133535
480.7429959,-0.286691534,-5.932108586
480.9097918,-0.266178198,-5.931774091
481.0767036,-0.303455875,-5.884792528
481.2437312,-0.389851731,-5.804471452
481.4108749,-0.514636917,-5.731238485
481.5781347,-0.667739584,-5.743015074
481.7455107,-0.840796765,-5.948171551
481.9130032,-1.027329971,-6.441904939
482.0806121,-1.222537911,-7.230434725
482.2483377,-1.422970709,-8.180068036
482.4161801,-1.626208001,-9.063835944
482.5841393,-1.830586778,-9.690777189
482.7522155,-2.034988319,-10.00363499
482.9204088,-2.238678515,-10.06913418
483.0887194,-2.441191302,-10.00201135
483.2571473,-2.64224483,-9.900392551
483.4256927,-2.841681572,-9.822598067
483.5943557,-3.039425409,-9.792412454
483.7631365,-3.235450399,-9.812742296
483.9320351,-3.4297572,-9.877017622
484.1010517,-3.622354019,-9.975971185
484.2701863,-3.813239493,-10.10082232
484.4394392,-4.002385152,-10.2443879
484.6088105,-4.189715016,-10.40121185
484.7783002,-4.375079477,-10.56732074
484.9479086,-4.558219875,-10.73989233
485.1176356,-4.738719052,-10.91695144
485.2874815,-4.915931677,-11.0971265
485.4574464,-5.088886578,-11.27946733
485.6275304,-5.256152442,-11.46331353
485.7977336,-5.415660172,-11.6482016
485.9680561,-5.564484942,-11.83380041
486.1384981,-5.698619291,-12.01986728
486.3090597,-5.812836691,-12.20621937
486.4797411,-5.900889028,-12.39271691
486.6505422,-5.956546596,-12.57925654
486.8214634,-5.976379076,-12.76577433
486.9925047,-5.965477564,-12.95225876
487.1636662,-5.94671664,-13.13877476
487.334948,-5.97089416,-13.325499
487.5063504,-6.117710591,-13.51276551
487.6778733,-6.470615285,-13.70111644
487.849517,-7.059248591,-13.89134701
488.0212816,-7.804793517,-14.08452495
488.1931671,-8.535449341,-14.2819565
488.3651738,-9.085182634,-14.48506792
488.5373017,-9.38869716,-14.69518202
488.709551,-9.489102807,-14.91320094
488.8819219,-9.477788366,-15.13925781
489.0544143,-9.436256633,-15.37245351
489.2270285,-9.413305336,-15.61081346
489.3997646,-9.428547029,-15.85154904
489.5726227,-9.484060315,-16.0915922
489.745603,-9.57418544,-16.32824182
489.9187056,-9.691243799,-16.55970006
490.0919305,-9.828129608,-16.78532699
490.2652781,-9.97914792,-17.00557134
490.4387482,-10.14005579,-17.22166438
490.6123412,-10.30782074,-17.43522421
490.7860571,-10.48032873,-17.64790214
490.9598961,-10.65612801,-17.86114256
491.1338583,-10.83423004,-18.07606733
491.3079438,-11.01396371,-18.29345808
491.4821527,-11.19487187,-18.51379766
491.6564852,-11.37663933,-18.73733683
491.8309415,-11.55904307,-18.9641633
492.0055216,-11.74191838,-19.19426128
492.1802257,-11.92513643,-19.42755715
492.3550539,-12.10859047,-19.66395179
492.5300063,-12.29218964,-19.90334176
492.7050831,-12.47586025,-20.14563227
492.8802845,-12.65955571,-20.39074443
493.0556105,-12.84327719,-20.63861886
493.2310612,-13.02710719,-20.8892172
493.4066369,-13.2112579,-21.14252242
493.5823376,-13.39613273,-21.39853844
493.7581635,-13.58239306,-21.65728948
