Wlgth,Rp5deg,Rp19deg
456.3672947,48.67944013,83.17167192
456.5176023,58.11358999,86.63236573
456.6680089,65.89100467,89.63560247
456.8185147,72.1152002,91.98212736
456.9691197,77.02133717,93.73562855
457.1198241,80.86575726,95.02896772
457.2706279,83.87736651,95.98538921
457.4215312,86.24330591,96.69966658
457.5725342,88.10996103,97.23993802
457.7236369,89.58928909,97.6540803
457.8748394,90.76598237,97.97562266
458.0261419,91.70379434,98.22818675
458.1775443,92.45060261,98.42858611
458.329047,93.04226611,98.58893354
458.4806498,93.50547967,98.718065
458.6323529,93.85983973,98.82250534
458.7841565,94.11929958,98.90712892
458.9360606,94.29314689,98.97561689
459.0880654,94.38659195,99.0307782
459.2401708,94.40101578,99.07477856
459.3923771,94.33389064,99.10930721
459.5446843,94.17835042,99.1357014
459.6970925,93.92235653,99.15504284
459.8496019,93.54738505,99.16823577
460.0022125,93.02659192,99.17607405
460.1549244,92.32260787,99.17930211
460.3077377,91.38579155,99.17867284
460.4606526,90.15574883,99.17500324
460.6136691,88.57402469,99.16922545
460.7667873,86.6266072,99.16242678
460.9200074,84.44699815,99.15586786
461.0733294,82.48075862,99.15096407
461.2267534,81.53172419,99.14921549
461.3802796,82.30380343,99.15207768
461.533908,84.64846164,99.16078248
461.6876388,87.64487655,99.17614151
461.841472,90.44839418,99.19838544
461.9954077,92.70385915,99.22709431
462.1494462,94.3980042,99.26125079
462.3035873,95.63922737,99.29940615
462.4578313,96.54621236,99.33990988
462.6121783,97.21428771,99.38113799
462.7666283,97.71261469,99.42166797
462.9211815,98.08958001,99.46037682
463.075838,98.37873514,99.49646647
463.2305978,98.60343116,99.52943711
463.3854612,98.78007685,99.55903242
463.5404281,98.92034344,99.58517645
463.6954986,99.0326402,99.60791444
463.850673,99.12310327,99.62736356
464.0059513,99.19626331,99.64367514
464.1613335,99.25550114,99.6570073
464.3168199,99.3033624,99.66750609
464.4724105,99.34177775,99.67529313
464.6281053,99.37221905,99.68045784
464.7839046,99.39581192,99.68305316
464.9398084,99.41341844,99.68309402
465.0958169,99.42569957,99.6805588
465.25193,99.43316448,99.67539447
465.408148,99.43621194,99.66752788
465.564471,99.43516844,99.65688664
465.720899,99.43032706,99.64343553
465.8774321,99.42199071,99.62723655
466.0340705,99.410523,99.60854208
466.1908143,99.39640848,99.58792783
466.3476636,99.38032107,99.56645965
466.5046184,99.36319335,99.54585615
466.6616789,99.34627044,99.52855466
466.8188452,99.33112059,99.51753296
466.9761174,99.31956666,99.51575436
467.1334956,99.31350775,99.52528247
467.2909799,99.31463036,99.54642592
467.4485705,99.32406317,99.57744349
467.6062673,99.34208506,99.61506829
467.7640706,99.3680086,99.6555523
467.9219805,99.40030248,99.69563794
468.079997,99.436912,99.73306462
468.2381203,99.47565452,99.76660409
468.3963504,99.51455743,99.79583203
468.5546875,99.55206169,99.82083843
468.7131317,99.58708449,99.8419861
468.8716831,99.61898042,99.85974671
469.0303418,99.64745135,99.87460473
469.1891079,99.67244479,99.88700852
469.3479815,99.69406347,99.89735035
469.5069627,99.71249489,99.90596203
469.6660517,99.7279613,99.91311838
469.8252486,99.74068653,99.91904376
469.9845534,99.7508755,99.92391936
470.1439662,99.75870236,99.92789003
470.3034873,99.76430421,99.93107032
470.4631166,99.76777842,99.93354943
470.6228543,99.76918227,99.93539529
470.7827006,99.76853447,99.93665781
470.9426554,99.76581901,99.93737151
471.102719,99.76099258,99.93755773
471.2628915,99.75399827,99.93722673
471.4231729,99.74478986,99.93637996
471.5835633,99.73337336,99.93501304
471.7440629,99.71987449,99.93312021
471.9046718,99.7046408,99.93070125
472.0653901,99.68837999,99.92777246
472.226218,99.67231371,99.92438308
472.3871554,99.65827979,99.92063875
472.5482026,99.64865566,99.91673095
472.7093596,99.64595797,99.91296676
472.8706266,99.65209952,99.90978366
473.0320036,99.66758108,99.90772456
473.1934909,99.69112507,99.9073473
473.3550884,99.72006828,99.90906986
473.5167964,99.75128481,99.91300614
473.6786148,99.78207032,99.91888736
473.8405439,99.81059468,99.92613191
474.0025838,99.83591652,99.93402897
474.1647345,99.8577643,99.94193072
474.3269962,99.87627573,99.94936757
474.489369,99.89179059,99.95607081
474.651853,99.90471703,99.96193622
474.8144483,99.91545775,99.96696909
474.977155,99.9243755,99.97123527
475.1399733,99.93178124,99.97482656
475.3029033,99.93793392,99.97783983
475.465945,99.94304548,99.98036605
475.6290987,99.94728748,99.9824856
475.7923643,99.95079783,99.98426696
475.9557421,99.95368681,99.98576734
476.1192321,99.95604215,99.98703384
476.2828345,99.95793325,99.98810501
476.4465493,99.95941458,99.98901226
476.6103767,99.96052839,99.98978111
476.7743168,99.96130695,99.99043227
476.9383698,99.96177445,99.99098255
477.1025357,99.96194871,99.99144555
477.2668146,99.96184285,99.99183225
477.4312067,99.96146722,99.99215143
477.5957121,99.96083186,99.9924101
477.7603309,99.95994963,99.9926137
477.9250632,99.95884077,99.99276632
478.0899092,99.95753873,99.99287092
478.2548689,99.95609787,99.99292935
478.4199425,99.95460189,99.99294245
478.5851301,99.95317151,99.99291012
478.7504317,99.95196705,99.99283123
478.9158477,99.95118046,99.99270363
479.0813779,99.95101093,99.99252404
479.2470227,99.95162391,99.99228798
479.412782,99.95310338,99.99198955
479.578656,99.95541776,99.99162128
479.7446448,99.95841892,99.99117393
479.9107486,99.96187814,99.99063625
480.0769675,99.96554244,99.98999485
480.2433015,99.96918628,99.98923411
480.4097508,99.97264171,99.98833657
480.5763156,99.97580516,99.98728373
480.7429959,99.97862838,99.98605807
480.9097918,99.98110309,99.9846468
481.0767036,99.98324597,99.98304843
481.2437312,99.98508682,99.98128287
481.4108749,99.98666058,99.97940511
481.5781347,99.9880024,99.97751959
481.7455107,99.98914504,99.97578783
481.9130032,99.99011769,99.9744166
482.0806121,99.99094563,99.97361631
482.2483377,99.99165033,99.97353554
482.4161801,99.99224985,99.97420246
482.5841393,99.99275922,99.97551147
482.7522155,99.99319085,99.97726506
