Wlgth	Rp 7°	Wlgth	GDDrp 7°
859.614979273519	99.9712117301717	859.614979273519	-114.827805999998
859.72068511199	99.9715555505207	859.72068511199	-115.154541667613
859.826416950701	99.9718874877588	859.826416950701	-115.480464889797
859.932174799248	99.9722079765159	859.932174799248	-115.805611132246
860.037958667229	99.9725174303721	860.037958667229	-116.130014274647
860.143768564248	99.9728162430375	860.143768564248	-116.453706646039
860.249604499912	99.973104789458	860.249604499912	-116.776719062912
860.355466483835	99.9733834268498	860.355466483835	-117.099080869334
860.461354525635	99.9736524956692	860.461354525635	-117.420819978501
860.567268634933	99.9739123205217	860.567268634933	-117.741962915196
860.673208821357	99.9741632110153	860.673208821357	-118.062534858738
860.779175094539	99.9744054625598	860.779175094539	-118.382559686052
860.885167464115	99.9746393571196	860.885167464115	-118.702060014559
