Wlgth	Rp _	Wlgth	GDDrs _
866.036033	99.99934667	866.036033	-193.5571574
866.1952761	99.9993453	866.1952761	-193.65895
866.3545777	99.99934369	866.3545777	-193.7906342
866.5139379	99.99934184	866.5139379	-193.952375
866.6733567	99.99933975	866.6733567	-194.1442864
866.8328343	99.99933743	866.8328343	-194.3664308
866.9923705	99.99933486	866.9923705	-194.6188183
867.1519655	99.99933205	867.1519655	-194.9014062
867.3116192	99.999329	867.3116192	-195.2140985
867.4713317	99.99932571	867.4713317	-195.5567453
867.6311031	99.99932217	867.6311031	-195.9291426
867.7909333	99.99931839	867.7909333	-196.3310322
867.9508224	99.99931436	867.9508224	-196.7621016
868.1107705	99.99931009	868.1107705	-197.2219836
868.2707775	99.99930557	868.2707775	-197.7102572
868.4308435	99.9993008	868.4308435	-198.2264468
868.5909685	99.99929577	868.5909685	-198.7700233
868.7511526	99.9992905	868.7511526	-199.3404042
868.9113958	99.99928496	868.9113958	-199.9369541
869.0716981	99.99927917	869.0716981	-200.5589853
869.2320596	99.99927311	869.2320596	-201.2057586
869.3924802	99.99926679	869.3924802	-201.8764841
869.5529601	99.99926021	869.5529601	-202.5703218
869.7134993	99.99925335	869.7134993	-203.2863833
869.8740977	99.99924622	869.8740977	-204.0237322
870.0347555	99.99923882	870.0347555	-204.7813857
870.1954726	99.99923114	870.1954726	-205.5583157
870.3562491	99.99922317	870.3562491	-206.3534505
870.517085	99.99921493	870.517085	-207.165676
870.6779803	99.99920639	870.6779803	-207.9938375
870.8389352	99.99919757	870.8389352	-208.8367411
870.9999496	99.99918845	870.9999496	-209.6931557
871.1610235	99.99917903	871.1610235	-210.561815
871.322157	99.99916931	871.322157	-211.4414191
871.4833502	99.99915929	871.4833502	-212.3306367
871.6446029	99.99914896	871.6446029	-213.2281073
871.8059154	99.99913833	871.8059154	-214.1324431
871.9672876	99.99912738	871.9672876	-215.0422316
872.1287195	99.99911611	872.1287195	-215.9560378
872.2902113	99.99910453	872.2902113	-216.8724066
872.4517628	99.99909263	872.4517628	-217.7898652
872.6133742	99.9990804	872.6133742	-218.7069259
872.7750455	99.99906785	872.7750455	-219.6220884
872.9367767	99.99905498	872.9367767	-220.5338427
873.0985678	99.99904177	873.0985678	-221.4406716
873.2604189	99.99902824	873.2604189	-222.3410537
873.4223301	99.99901437	873.4223301	-223.2334662
873.5843013	99.99900017	873.5843013	-224.1163874
873.7463326	99.99898564	873.7463326	-224.9883002
873.908424	99.99897078	873.908424	-225.8476943
874.0705755	99.99895559	874.0705755	-226.6930699
